hmm_name,modification_name,cutoff
D_glucosamine_N_acetylglucosamine_glucose_dehydration.hmm,D-glucosamine_N-acetylglucosamine_glucose_dehydration,0
D_glucosamine_N_acetylglucosamine_glucose_dehydration_amination.hmm,D-glucosamine_N-acetylglucosamine_glucose_dehydration_amination,380
N_acetylglucosamine_deacetylation.hmm,N-acetylglucosamine_deacetylation,280
D_glucosamine_N_acetylglucosamine_glucose_dehydration_amination_N_methylation_1.hmm,D-glucosamine_N-acetylglucosamine_glucose_dehydration_amination_N-methylation,0
D_glucosamine_N_acetylglucosamine_glucose_dehydration_amination_N_methylation_2.hmm,D-glucosamine_N-acetylglucosamine_glucose_dehydration_amination_N-methylation,400
D_glucosamine_N_acetylglucosamine_glucose_dehydration_amination_N_methylation_3.hmm,D-glucosamine_N-acetylglucosamine_glucose_dehydration_amination_N-methylation,200
D_xylose_2_methylation_OH_1.hmm,D-xylose_2-methylation_OH,0
D_xylose_2_methylation_OH_2.hmm,D-xylose_2-methylation_OH,400
D_xylose_2_methylation_OH_3.hmm,D-xylose_2-methylation_OH,400
OH_dehydration_amination_methylation_D_xylose_1.hmm,OH-dehydration_amination_methylation,0
OH_dehydration_amination_methylation_D_xylose_2.hmm,OH-dehydration_amination_methylation,400
OH_dehydration_glucose_2_7DAOct_1.hmm,OH-dehydration,400
OH_dehydration_glucose_2_7DAOct_2.hmm,OH-dehydration,100
OH_dehydration_scyllo_inosamine.hmm,OH-dehydration,400
OH_dehydration_deoxy_scyllo_inosamine.hmm,OH-dehydration,400
OH_dehydration_amination_scyllo_inosamine.hmm,OH-dehydration_amination,400
OH_dehydration_amination_deoxy_scyllo_inosamine.hmm,OH-dehydration_amination,400
OH_dehydration_amination_D_xylose_1.hmm,OH-dehydration_amination,400
OH_dehydration_amination_D_xylose_2.hmm,OH-dehydration_amination,400
OH_dehydration_amination_methylation_deoxy_scyllo_inosamine.hmm,OH-dehydration_amination_methylation,400
2_7DAOct_dehydroxylation_1.hmm,"2,7DAOct_dehydroxylation",200
2_7DAOct_dehydroxylation_2.hmm,"2,7DAOct_dehydroxylation",500
OH-methylation1.hmm,OH-methylation,0
OH-methylation2.hmm,OH-methylation,100
OH-methylation3.hmm,OH-methylation,0
OH-methylation4.hmm,OH-methylation,380
D-glucosamine_N-acetylglucosamine_glucose_7-methylation1.hmm,D-glucosamine_N-acetylglucosamine_glucose_7-methylation,420
D-glucosamine_N-acetylglucosamine_glucose_7-methylation2.hmm,D-glucosamine_N-acetylglucosamine_glucose_7-methylation,400
OH-dehydration_amination_methylation1.hmm,OH-dehydration_amination_methylation,100
OH-dehydration_amination_methylation2.hmm,OH-dehydration_amination_methylation,400