monomer,pathway,pathway_order,hmm_name,cutoff
D-olivose,1,1,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
D-olivose,1,2,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
D-olivose,1,3,D-olivose_3_2-deoxy-D-evalose_3.hmm,0
D-olivose,1,4,D-olivose_4_2-deoxy-D-evalose_4.hmm,270
2-deoxy-D-evalose,1,1,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
2-deoxy-D-evalose,1,2,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
2-deoxy-D-evalose,1,3,D-olivose_3_2-deoxy-D-evalose_3.hmm,0
2-deoxy-D-evalose,1,4,D-olivose_4_2-deoxy-D-evalose_4.hmm,270
2-deoxy-D-evalose,1,5,2-deoxy-D-evalose_5.hmm,0
2-deoxy-D-evalose,1,6,2-deoxy-D-evalose_6.hmm,100
D-fucose,1,1,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
D-fucose,1,2,D-fucose_2.hmm,180
D-fucose,1,3,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
L-lyxose,1,1,L-lyxose_1.hmm,50
L-lyxose,1,2,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
1-epi-valienol-7-phosphate,1,1,1-epi-valienol-7-phosphate_BGC691_1.hmm,0
1-epi-valienol-7-phosphate,1,2,1-epi-valienol-7-phosphate_BGC691_2.hmm,0
1-epi-valienol-7-phosphate,1,3,1-epi-valienol-7-phosphate_BGC691_BGC804_3.hmm,160
1-epi-valienol-7-phosphate,1,4,2-deoxystreptamine_3_a_1-epi-valienol-7-phosphate_BGC691_4_scyllo-inosamine_1_2L-2-amino-2-deoxy-neo-inositol_3.hmm,0
1-epi-valienol-7-phosphate,1,5,1-epi-valienol-7-phosphate_BGC691_BGC804_5.hmm,0
1-epi-valienol-7-phosphate,1,6,1-epi-valienol-7-phosphate_BGC691_BGC804_6.hmm,100
1-epi-valienol-7-phosphate,2,1,validone_1_valienone_1_1-epi-valienol-7-phosphate_BGC804_1.hmm,300
1-epi-valienol-7-phosphate,2,3,1-epi-valienol-7-phosphate_BGC691_BGC804_3.hmm,160
1-epi-valienol-7-phosphate,2,4,dihydrostreptose_5_1-epi-valienol-7-phosphate_BGC804_4.hmm,0
1-epi-valienol-7-phosphate,2,5,1-epi-valienol-7-phosphate_BGC691_BGC804_5.hmm,0
1-epi-valienol-7-phosphate,2,6,1-epi-valienol-7-phosphate_BGC691_BGC804_6.hmm,200
"4-amino-4,6-dideoxy-D-glucose",1,1,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
"4-amino-4,6-dideoxy-D-glucose",1,2,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
"4-amino-4,6-dideoxy-D-glucose",1,3,"4-amino-4,6-dideoxy-D-glucose_3.hmm",380
2-deoxystreptamine,1,1,2-deoxystreptamine_1_2-deoxy-scyllo-inosamine_1.hmm,310
2-deoxystreptamine,1,2,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
2-deoxy-scyllo-inosamine,1,1,2-deoxystreptamine_1_2-deoxy-scyllo-inosamine_1.hmm,310
2-deoxy-scyllo-inosamine,1,2,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
2-deoxystreptamine,1,3,2-deoxystreptamine_3_a_1-epi-valienol-7-phosphate_BGC691_4_scyllo-inosamine_1_2L-2-amino-2-deoxy-neo-inositol_3.hmm,0
2-deoxystreptamine,1,4,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
2-deoxystreptamine,2,1,2-deoxystreptamine_1_2-deoxy-scyllo-inosamine_1.hmm,310
2-deoxystreptamine,2,2,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
2-deoxystreptamine,2,3,2-deoxystreptamine_3_b_kanosamine_1.hmm,500
2-deoxystreptamine,2,4,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
scyllo-inosamine,1,1,2-deoxystreptamine_3_a_1-epi-valienol-7-phosphate_BGC691_4_scyllo-inosamine_1_2L-2-amino-2-deoxy-neo-inositol_3.hmm,0
L-fucofuranose,1,1,L-fucofuranose_1.hmm,0
L-fucofuranose,1,2,L-fucofuranose_2.hmm,0
2L-2-amino-2-deoxy-neo-inositol,1,1,2L-2-amino-2-deoxy-neo-inositol_1.hmm,200
2L-2-amino-2-deoxy-neo-inositol,1,2,2L-2-amino-2-deoxy-neo-inositol_2.hmm,200
2L-2-amino-2-deoxy-neo-inositol,1,3,2-deoxystreptamine_3_a_1-epi-valienol-7-phosphate_BGC691_4_scyllo-inosamine_1_2L-2-amino-2-deoxy-neo-inositol_3.hmm,0
2L-2-amino-2-deoxy-neo-inositol,1,4,2L-2-amino-2-deoxy-neo-inositol_4.hmm,280
"2,6-diamino-2,6-dideoxyglucose",1,1,"2,6-diamino-2,6-dideoxyglucose_1.hmm",0
kanosamine,1,1,2-deoxystreptamine_3_b_kanosamine_1.hmm,500
kanosamine,1,2,kanosamine_2.hmm,400
4-carboxyformimidoyl-kasugamine,1,1,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
4-carboxyformimidoyl-kasugamine,1,2,4-carboxyformimidoyl-kasugamine_2.hmm,330
actinospectose,1,1,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
actinospectose,1,2,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
actinospectose,1,3,actinospectose_BGC715_BGC716_3_actinospectose_BGC715_BGC716_4.hmm,240
actinospectose,1,4,actinospectose_BGC715_BGC716_3_actinospectose_BGC715_BGC716_4.hmm,240
actinospectose,1,5,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
actinospectose,2,1,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
actinospectose,2,2,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,0
actinospectose,2,3,actinospectose_BGC715_BGC716_3_actinospectose_BGC715_BGC716_4.hmm,240
actinospectose,2,4,actinospectose_BGC715_BGC716_3_actinospectose_BGC715_BGC716_4.hmm,240
actinospectose,2,5,actinospectose_BGC716_5.hmm,100
actinospectose,3,1,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
actinospectose,3,2,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
actinospectose,3,3,actinospectose_BGC715_BGC716_3_actinospectose_BGC715_BGC716_4.hmm,240
actinospectose,3,4,actinospectose_BGC715_BGC716_3_actinospectose_BGC715_BGC716_4.hmm,240
actinospectose,3,5,actinospectose_BGC716_5.hmm,100
actinamine,1,2,actinamine_2_streptidine_2.hmm,0
streptidine,1,2,actinamine_2_streptidine_2.hmm,0
actinamine,1,3,actinamine_3.hmm,200
actinamine,1,4,actinamine_4.hmm,330
actinamine,1,5,actinamine_5.hmm,225
actinamine,1,6,actinamine_6.hmm,330
actinamine,1,7,actinamine_7.hmm,50
actinamine,1,8,actinamine_8.hmm,120
actinamine,1,9,actinamine_9.hmm,120
validone,1,1,validone_1_valienone_1_1-epi-valienol-7-phosphate_BGC804_1.hmm,250
valienone,1,1,validone_1_valienone_1_1-epi-valienol-7-phosphate_BGC804_1.hmm,250
"4-amino-4,6-dideoxy-D-glucose",1,2,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
streptose,1,1,dihydrostreptose_1.hmm,0
streptose,1,2,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
streptose,1,3,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
streptose,1,4,dihydrostreptose_4.hmm,0
streptose,1,5,dihydrostreptose_5_1-epi-valienol-7-phosphate_BGC804_4.hmm,0
streptidine,1,3,streptidine_3.hmm,200
streptidine,1,4,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
streptidine,1,5,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
streptidine,1,6,streptidine_6.hmm,430
streptidine,1,7,streptidine_7.hmm,0
streptidine,1,7,streptidine_7__2.hmm,400
streptidine,1,7,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
N-methyl-glucosamine,1,1,N-methyl-glucosamine_BGC724_BGC724_alter_1.hmm,0
N-methyl-glucosamine,1,2,N-methyl-glucosamine_BGC724_BGC724_alter_2.hmm,155
N-methyl-glucosamine,1,3,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
N-methyl-glucosamine,1,4,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
N-methyl-glucosamine,1,5,N-methyl-glucosamine_BGC724_BGC724_alter_5.hmm,100
N-methyl-glucosamine,1,6,N-methyl-glucosamine_BGC724_BGC724_alter_6.hmm,0
p-hydroxymandelonitrile,1,1,p-hydroxymandelonitrile_1.hmm,0
p-hydroxymandelonitrile,1,2,p-hydroxymandelonitrile_2.hmm,0
"2,7DAOct",1,1,2_7DAOct_1.hmm,0
"2,7DAOct",1,2,2_7DAOct_2.hmm,0
"2,7DAOct",1,3,2_7DAOct_3a.hmm,0
"2,7DAOct",2,1,2_7DAOct_1.hmm,0
"2,7DAOct",2,2,2_7DAOct_2.hmm,200
"2,7DAOct",2,3,2_7DAOct_3b.hmm,100
"2,7DAOct",3,1,2_7DAOct_1.hmm,0
"2,7DAOct",3,2,2_7DAOct_2.hmm,0
"2,7DAOct",3,3,2_7DAOct_3c.hmm,0
"2,7DAOct",4,1,2_7DAOct_1.hmm,0
"2,7DAOct",4,2,2_7DAOct_2.hmm,0
"2,7DAOct",4,3,2_7DAOct_3d.hmm,0
myo-inositol,1,1,myo-inositol_1.hmm,100
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,1,3_4_dihydroxy_alpha_methylcinnamic_acid_1.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,2,3_4_dihydroxy_alpha_methylcinnamic_acid_2.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,3,3_4_dihydroxy_alpha_methylcinnamic_acid_3.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,4,3_4_dihydroxy_alpha_methylcinnamic_acid_4.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,5,3_4_dihydroxy_alpha_methylcinnamic_acid_5.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,6,3_4_dihydroxy_alpha_methylcinnamic_acid_6.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,7,3_4_dihydroxy_alpha_methylcinnamic_acid_7.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,8,3_4_dihydroxy_alpha_methylcinnamic_acid_8.hmm,0
5'-hydrostreptose,1,1,dihydrostreptose_1.hmm,0
5'-hydrostreptose,1,2,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
5'-hydrostreptose,1,3,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
5'-hydrostreptose,1,4,dihydrostreptose_4.hmm,0
5'-hydrostreptose,1,5,dihydrostreptose_5_1-epi-valienol-7-phosphate_BGC804_4.hmm,0
