name,smiles,inchikey14,exact_mass
compound_1,NC1C(O)C(O)C(O)C(O)C1O,JXAOTICXQLILTC,179.079372516
compound_2,CC(O)C1OC(O)C(O)C1O,AFNUZVCFKQUDBJ,164.068473484
compound_3,CC1OC(O)C(O)C1(O)C=O,PSLNNVPHIJQGRF,162.05282342
compound_4,CC1OC(O)C(O)C1(O)CO,VSTCLKQQGTYAAZ,164.068473484
compound_5,NC1C(OC2C(N)C(O)C(O)C(O)C2O)OC(CO)C(O)C1O,RQEREARTKFHKFJ,340.1481803479999
compound_6,NC(N)=NC1C(O)C(O)C(O)C(N=C(N)N)C1O,MSXMXWJPFIDEMT,262.138953056
compound_7,CC1OC(OC2C(O)C(O)C(N=C(N)N)C(O)C2N=C(N)N)C(O)C1(O)C=O,YEMNUNUZEKRCMP,406.181211792
compound_8,CC1OC(OC2C(O)C(O)C(N=C(N)N)C(O)C2N=C(N)N)C(O)C1(O)CO,ACTKLUZDHCNOLG,408.196861856
compound_9,OC1C(O)C(O)C2C(OCO2)C1N,WTVKEBFXWCNGBG,191.079372516
compound_10,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_11,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_12,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_13,OC1C(O)C2C(OCO2)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_14,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_15,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_16,OC1C(O)C(O)C2C(OCO2)C1N,WTVKEBFXWCNGBG,191.079372516
compound_17,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_18,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_19,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_20,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_21,OC1C2C(OCO2)C(O)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_22,OC1C(O)C2C(OCO2)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_23,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_24,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_25,OC1C(O)C(O)C(C2C1OCO2)N,WTVKEBFXWCNGBG,191.079372516
compound_26,OC1C2C(OCO2)C(O)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_27,OC1C(O)C(O)C(C2C1OCO2)N,WTVKEBFXWCNGBG,191.079372516
compound_28,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_29,OC1C2C(OCO2)OC1C(O)C,NNKGCXNDVSQHBD,176.068473484
compound_30,OC2C13C(OCO3)OC2C(O1)C,CPAOPVSMAZKTPV,174.05282342
compound_31,O1C(C3C2(O3)C1OCO2)C(O)C,LWFWRCGWRYDQJH,174.05282342
compound_32,OC1OC(C2C1OCO2)C(O)C,AYXLKUCPSRIBHU,176.068473484
compound_33,O3C(C2OC(C13OCOC12)O)C,MUUDGCZNXLFGDT,174.05282342
compound_34,OC1C2C(OCO2)OC1C(O)C,NNKGCXNDVSQHBD,176.068473484
compound_35,OC2C13C(OCO3)OC2C(O1)C,CPAOPVSMAZKTPV,174.05282342
compound_36,O1C(C3C2(O3)C1OCO2)C(O)C,LWFWRCGWRYDQJH,174.05282342
compound_37,OC1OC(C2C1OCO2)C(O)C,AYXLKUCPSRIBHU,176.068473484
compound_38,O3C(C2OC(C13OCOC12)O)C,MUUDGCZNXLFGDT,174.05282342
compound_39,OC12C(O)OC(C1O2)C(O)C,NSJOPRVGENEBLA,162.05282342
compound_40,OC1OC2C(OC13C2O3)(O)C,LTFALMQIFGGKCS,160.037173356
compound_41,O3C12C3(O2)C(O)OC1C(O)C,PGRPFNGSPQABDI,160.037173356
compound_42,OC2C1(O)C(O)OC2C(O1)C,AYFPJCIRVHCVAJ,162.05282342
compound_43,O3C1(C2OC(C3(C2O)O1)O)C,SFDHWMHNXHGXBH,160.037173356
compound_44,O3C(C2OC(C13OC12O)O)C,ONNNGUQRADGPNQ,160.037173356
compound_45,OC1OC(C2(O)C1O2)C(O)C,IPAQQSGCMOPENU,162.05282342
compound_46,OC2C1C(O)OC2C(O1)(O)C,IUXRTMSWHFDKDK,162.05282342
compound_47,O=CC1(O)C2C(OCO2)OC1C,ANTSXLIXPJHTHY,174.05282342
compound_48,O=CC1(O)C2C(OCO2)OC1C,ANTSXLIXPJHTHY,174.05282342
compound_49,OCC1(O)C2C(OCO2)OC1C,HRKHNJXMAURHPO,176.068473484
compound_50,OCC1(O)C2C(OCO2)OC1C,HRKHNJXMAURHPO,176.068473484
compound_51,OC1C(O)=C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,JPNNCGZCMUJABJ,350.13253028400004
compound_52,OC1CC(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,IRDDUGAPAQVZES,336.15326572800006
compound_53,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_54,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_55,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_56,OC1C(O)C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,BAKNMZKJEMGAOI,352.14818034800004
compound_57,OC1C(O)=C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,KXWFWERNUMOTRY,350.13253028400004
compound_58,OC1CC(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,UVXFPMILSBUXNW,336.15326572800006
compound_59,OC1C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C(C1)N,XJKOFUBJWUNKJG,336.15326572800006
compound_60,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
compound_61,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
compound_62,OC1C(O)C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,TZYBQQVOIHLION,352.14818034800004
compound_63,OC1C(O)=C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,JPNNCGZCMUJABJ,350.13253028400004
compound_64,OC1CC(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,IRDDUGAPAQVZES,336.15326572800006
compound_65,OC1C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C(C1)N,IRSKHSJWGHFNNX,336.15326572800006
compound_66,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_67,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_68,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_69,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_70,OC1C(O)C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,FKTWAEJXFDLKRS,352.14818034800004
compound_71,OC1C(O)=C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,WKLUZZPOINRNDD,350.13253028400004
compound_72,OC1CC(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,RNEWGWOUJKQMTE,336.15326572800006
compound_73,OC1C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C(C1)N,VOMZAKGODFKARV,336.15326572800006
compound_74,OCC1OC(OC4C(C(C(C3OCOC34)O)O)N)C(C2C1OCO2)N,WQLQEGYOHSZGBO,364.148180348
compound_75,OC1C(O)C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,TZYBQQVOIHLION,352.14818034800004
compound_76,OC1C(O)C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,BAKNMZKJEMGAOI,352.14818034800004
compound_77,OC1C(O)=C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,KXWFWERNUMOTRY,350.13253028400004
compound_78,OC1CC(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,UVXFPMILSBUXNW,336.15326572800006
compound_79,OC1C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C(C1)N,XJKOFUBJWUNKJG,336.15326572800006
compound_80,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
compound_81,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
compound_82,OC1C(O)C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,FKTWAEJXFDLKRS,352.14818034800004
compound_83,OC1C(O)=C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,WKLUZZPOINRNDD,350.13253028400004
compound_84,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_85,OC1C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C(C1)N,VOMZAKGODFKARV,336.15326572800006
compound_86,OCC1OC(OC4C(C(C(C3OCOC34)O)O)N)C(C2C1OCO2)N,WQLQEGYOHSZGBO,364.148180348
compound_87,OCC1OC(OC4C(C(C(C3OCOC34)O)O)N)C(C2C1OCO2)N,WQLQEGYOHSZGBO,364.148180348
compound_88,OCC1OC(OC3C(C(C(C(C3O)O)O)O)N)C(C2C1OCO2)N,GYXBDEOZGLWZMG,352.148180348
compound_89,OCC=1OC(OC3C(C(C(C(C3O)O)O)O)N)C(C2C=1OCO2)N,BNFNOYRKPUAPOQ,350.132530284
compound_90,OCC1OC(OC3C(C(C(C(C3O)O)O)O)N)C(C2C1OCO2)N,GYXBDEOZGLWZMG,352.148180348
compound_91,OCC=1OC(OC3C(C(C(C(C3O)O)O)O)N)C(C2C=1OCO2)N,BNFNOYRKPUAPOQ,350.132530284
compound_92,OC1C(CO)OC(OC2C(C(C(C(C2O)O)O)O)N)C(C1)N,ZLPUXHWYAHSCIT,324.15326572800006
compound_93,OC1=C(CO)OC(OC2C(C(C(C(C2O)O)O)O)N)C(C1)N,WFODNMPUMGELMR,322.13761566400007
compound_94,OCC1OC(OC2C(C(C(C(C2O)O)O)O)N)C(CC1)N,WBROFANWCRNACQ,308.15835110800003
compound_95,OC1CC(CO)OC(OC2C(C(C(C(C2O)O)O)O)N)C1N,ZLUCGIPLVKTTOV,324.15326572800006
compound_96,OC1C=C(CO)OC(OC2C(C(C(C(C2O)O)O)O)N)C1N,DBWIOIXPLUJINP,322.13761566400007
compound_97,OC1C(O)=C(CO)OC(OC2C(C(C(C(C2O)O)O)O)N)C1N,DGJFOJVKXWRBGH,338.13253028400004
compound_98,OC1CC(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,RNEWGWOUJKQMTE,336.15326572800006
compound_99,OCC1OC(OC4C(C(C(C3OCOC34)O)O)N)C(C2C1OCO2)N,WQLQEGYOHSZGBO,364.148180348
compound_100,OC1C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C(C1)N,IRSKHSJWGHFNNX,336.15326572800006
compound_101,OC1C(N=C(N)N)C(O)C2C(OCO2)C1N=C(N)N,FHVLEGICXPUAFG,274.138953056
compound_102,OC1C(N=C(N)N)C2C(OCO2)C(O)C1N=C(N)N,FHVLEGICXPUAFG,274.138953056
compound_103,OC1C(N=C(N)N)C2C(OCO2)C(O)C1N=C(N)N,FHVLEGICXPUAFG,274.138953056
compound_104,OC1C(N=C(N)N)C(O)C2C(OCO2)C1N=C(N)N,FHVLEGICXPUAFG,274.138953056
compound_105,O=CC1(O)C4C(OC3C2(O4)OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,FZJXUAHPZAOSEQ,416.16556172800006
compound_106,O=CC1(O)C(O)C(OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,GHCHIEGDTZYYQK,418.18121179200006
compound_107,O=CC1(O)C(O)C(OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,GHCHIEGDTZYYQK,418.18121179200006
compound_108,O=CC1(O)C4C(OC3C2(O4)OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,FZJXUAHPZAOSEQ,416.16556172800006
compound_109,O=CC1(O)C3C(OC2C(O3)(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)OC1C,YXKRGHSHMQTZCU,404.165561728
compound_110,O=CC1(O)C24C(OC3C(O4)(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O2)OC1C,DJTDHCNNBYPZLH,402.149911664
compound_111,O=CC1(O)C2(O)C(OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O2)OC1C,GCEQBFPDQPKHQC,404.165561728
compound_112,OCC1(O)C(O)C(OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,OTXVQTNDYXTNEV,420.19686185600006
compound_113,OCC1(O)C4C(OC3C2(O4)OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,QKJQTLQRDQPZOB,418.18121179200006
compound_114,OCC1(O)C4C(OC3C2(O4)OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,QKJQTLQRDQPZOB,418.18121179200006
compound_115,OCC1(O)C3C(OC2C(O3)(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)OC1C,YWTMYWDXJUOJFA,406.181211792
compound_116,OCC1(O)C24C(OC3C(O4)(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O2)OC1C,XWGXHXPDSUDXLL,404.165561728
compound_117,OCC1(O)C2(O)C(OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O2)OC1C,KLLQKGRMWXMXOC,406.181211792
compound_118,OCC1(O)C(O)C(OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)OC1C,OTXVQTNDYXTNEV,420.19686185600006
compound_119,NC1C(O)C(O)C(O)C(O)C1O,JXAOTICXQLILTC,179.079372516
compound_120,CC(O)C1OC(O)C(O)C1O,AFNUZVCFKQUDBJ,164.068473484
compound_121,CC1OC(O)C(O)C1(O)C=O,PSLNNVPHIJQGRF,162.05282342
compound_122,CC1OC(O)C(O)C1(O)CO,VSTCLKQQGTYAAZ,164.068473484
compound_123,NC1C(OC2C(N)C(O)C(O)C(O)C2O)OC(CO)C(O)C1O,RQEREARTKFHKFJ,340.1481803479999
compound_124,NC(N)=NC1C(O)C(O)C(O)C(N=C(N)N)C1O,MSXMXWJPFIDEMT,262.138953056
compound_125,CC1OC(OC2C(O)C(O)C(N=C(N)N)C(O)C2N=C(N)N)C(O)C1(O)C=O,YEMNUNUZEKRCMP,406.181211792
compound_126,CC1OC(OC2C(O)C(O)C(N=C(N)N)C(O)C2N=C(N)N)C(O)C1(O)CO,ACTKLUZDHCNOLG,408.196861856
